diff	lwr	upr	p adj	location	day	ad_metric	q.value
sub-ctrl37	-87.9445510180995	-140.235103310609	-35.6539987255901	0.00066969879261114	cc	84	ace	0.0185455050261546
ther-ctrl37	-80.1830724411765	-147.57727990153	-12.7888649808233	0.0168169705077555	cc	84	ace	0.1513527345698
ther-sub37	7.76147857692303	-62.2853113596368	77.8082685134829	0.960117326315522	cc	84	ace	0.999999984904248
sub-ctrl38	-10.8714181855204	-21.1453448570887	-0.597491513952004	0.0362407128885959	cc	84	invsimpson	0.217444277331575
ther-ctrl38	2.89115601960784	-10.3503018571972	16.1326138964129	0.854360703790039	cc	84	invsimpson	0.999999984904248
ther-sub38	13.7625742051282	-5.69363688160962e-05	27.5252053466252	0.0500011241303715	cc	84	invsimpson	0.258823750986169
sub-ctrl39	-0.559220058823529	-0.965793672502985	-0.152646445144073	0.00526282808544443	cc	84	shannon	0.0631539370253331
ther-ctrl39	-0.125789225490196	-0.649797966398902	0.398219515418511	0.826920258377959	cc	84	shannon	0.999999984904248
ther-sub39	0.433430833333333	-0.111202475411285	0.978064142077952	0.140101948627844	cc	84	shannon	0.400291281793841
sub-ctrl40	-12.3	-55.5445006410417	30.9445006410417	0.76250079322679	ic	14	sobs	0.999999984904248
ther-ctrl40	11.1	-32.1445006410417	54.3445006410417	0.801493327989265	ic	14	sobs	0.999999984904248
ther-sub40	23.4	-19.8445006410417	66.6445006410417	0.385131985446888	ic	14	sobs	0.761799531653184
sub-ctrl41	-15.560442	-62.0400863872765	30.9192023872765	0.687934655571007	ic	14	chao	0.999999984904248
ther-ctrl41	7.30016929999999	-39.1794750872765	53.7798136872765	0.920054573252173	ic	14	chao	0.999999984904248
ther-sub41	22.8606113	-23.6190330872765	69.3402556872765	0.452234469324044	ic	14	chao	0.840442488359895
sub-ctrl42	-15.3858948	-61.3775568764036	30.6057672764037	0.688302683828214	ic	14	ace	0.999999984904248
ther-ctrl42	4.78614900000002	-41.2055130764036	50.7778110764037	0.964013859308093	ic	14	ace	0.999999984904248
ther-sub42	20.1720438	-25.8196182764036	66.1637058764036	0.529838320669615	ic	14	ace	0.912640169574457
sub-ctrl43	-0.478059699999998	-5.50107769338495	4.54495829338496	0.969803554171257	ic	14	invsimpson	0.999999984904248
ther-ctrl43	2.2046008	-2.81841719338495	7.22761879338495	0.529393527090095	ic	14	invsimpson	0.912640169574457
ther-sub43	2.6826605	-2.34035749338496	7.70567849338495	0.394385639388328	ic	14	invsimpson	0.771624077064119
sub-ctrl44	-0.0446798999999998	-0.749008139637551	0.659648339637551	0.986461079651279	ic	14	shannon	0.999999984904248
ther-ctrl44	0.1883779	-0.515950339637551	0.892706139637551	0.786576567005044	ic	14	shannon	0.999999984904248
ther-sub44	0.2330578	-0.471270439637551	0.937386039637551	0.69381087817742	ic	14	shannon	0.999999984904248
