"d78_cc_ctrl"	"d78_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"beta-hydroxyisovalerate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00305238095238095
"beta-sitosterol"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00140952380952381
"betaine"	0	0	0	0
"bilirubin"	0	0	0	0.000333333333333333
"biliverdin"	-3.72380122987091e-17	0.606999342212512	0.333520726758666	0.0258809523809524
"cadaverine"	1.0001000150025	0	1.0001000150025	0.00508888888888889
"campesterol"	-1.0001000150025	0	-1.0001000150025	0.00316666666666667
"caprate (10:0)"	3.71268616107178	3.55871714417851	3.84712905101838	0.0447749206349206
"caproate (6:0)"	1.21285649954833	1.41449648996668	1.36463613639563	0.0103777777777778
"carboxyethyl-GABA"	1.0001000150025	1.0001000150025	1.0001000150025	0.00446666666666667
"carnitine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00315
"carnosine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00223333333333333
"catechol sulfate"	1.38701725030211	1.0001000150025	1.40868513468813	0.00749142857142857
"chenodeoxycholate"	0	0	0	0.00035
"chiro-inositol"	2.08642860799356	2.31569274169636	2.29486617152698	0.0327666666666667
"cholate"	1.42968080538219	1.66793230372498	1.7866120166889	0.0351136507936508
"cholesterol"	-0.447222540040205	0.343001205617056	0.468531570618058	0.00277619047619048
"choline"	0	0	0	0.000662857142857143
"phosphocholine"	0	0	0	0.00122571428571429
"citrate"	0	-1.0001000150025	-1.0001000150025	0.00191333333333333
"citrulline"	0	0	0	0.00106666666666667
"coprostanol"	-1.38701725030211	-1.40027448069996	-1.41449648996668	0.0066
"creatine"	1.0001000150025	0	1.0001000150025	0.00633333333333333
"creatinine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0029047619047619
"cysteine"	0	0	0	0
"cysteine s-sulfate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00338333333333333
"cysteine sulfinic acid"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00342380952380952
"cysteinylglycine"	0	0	0	0.00864761904761905
"cystine"	0.596217668085672	1.8250836730066	1.45463227233227	0.0274466666666667
"cytidine"	-0.852864894215877	-0.816551019477037	-0.829458273796686	0.00698333333333333
"cytosine"	-1.41449648996668	-1.0001000150025	-1.40868513468813	0.0135844444444444
"D-urobilin"	3.65159783091639	3.50679269055209	3.77603182616375	0.0432879365079365
"daidzein"	2.57461685438595	2.98363488907998	3.06650697571468	0.0426676190476191
"delta-tocopherol"	-1.0001000150025	1.0001000150025	0.156174142801614	0.000609523809523809
"deoxycarnitine"	-0.534537756550364	-0.845214629358356	-0.749982398578823	0.01388
"deoxycholate"	4.19064018115942	4.32557885465921	4.46700869522966	0.0440104761904762
"dihomolinoleate (20:2n6)"	0	0	0	0.00183333333333333
"dihomolinolenate (20:3n3 or 3n6)"	-0.908034245043568	-0.896330162714078	-1.0001000150025	0.00519047619047619
"dihydroferulic acid"	1.38701725030211	1.41449648996668	1.40584162388088	0.0049
"dihydroorotate"	0	0	0	0.00515333333333333
"dihydroxyacetone phosphate (DHAP)"	-1.0001000150025	0.277352231599525	-0.128037089829937	0.0123288888888889
"dimethyl sulfone"	0	0	0	0.000666666666666667
"dimethylarginine (ADMA + SDMA)"	-1.41336579714812	-0.542342096019343	-1.19730192685426	0.01258
"dimethylglycine"	3.49404880682081	3.86868063309065	3.82908300820774	0.0546476190476191
"dimethylmalonic acid"	0	0	0	0.000333333333333333
"docosadienoate (22:2n6)"	0	0	0	0.0014
"docosapentaenoate (n6 DPA; 22:5n6)"	-1.0001000150025	0	-1.0001000150025	0.00145333333333333
"dodecanedioate (C12)"	7.60476735976298	7.59162267065415	7.96400829663824	0.103675555555555
"ectoine"	0	0	0	0.00375555555555556
"eicosapentaenoate (EPA; 20:5n3)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00116666666666667
"eicosenoate (20:1n9 or 1n11)"	0	0	0	0
"enterodiol"	2.46494757961625	2.61810127133545	2.56490285325718	0.0369206349206349
"enterolactone"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0015
"equol"	-0.714563265561128	0.333337037098767	-0.284212507150027	0.0206571428571429
"equol sulfate"	2.8847042883611	3.04283944579456	3.19182119997061	0.0449460317460318
"ergothioneine"	0.478102371912867	0.316230928341933	0.274435679135184	0.0168355555555556
"erucate (22:1n9)"	0	0	0	0.000366666666666667
"erythritol"	2.23718685071341	1.48155088565694	1.95259943687485	0.03778
"erythronate*"	0	0	0	0.000746666666666667
"erythrose"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00773333333333333
"ethylmalonate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00243333333333333
"ferulate"	-1.21285649954833	-1.26511349842314	-1.40584162388088	0.00247333333333333
"FMN"	0	0	0	0.0012
"FAD"	1.0001000150025	1.0001000150025	1.0001000150025	0.0171714285714286
"formiminoglutamate"	0	0	0	0
"fructose"	-0.277352231599525	-0.277352231599525	-0.277352231599525	0.0106904761904762
"fucose"	-1.0001000150025	1.0001000150025	-0.447222540040205	0.00117619047619048
"fumarate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00206666666666667
"galactitol (dulcitol)"	1.9237885149322	2.74180397446763	2.50608599445464	0.0314261904761905
"galactonate"	-1.41449648996668	-1.0001000150025	-1.30008705568264	0.00106285714285714
"gamma-aminobutyrate (GABA)"	0.528641037319773	0.373388121759656	0.413632993053971	0.0182571428571429
"gamma-CEHC"	-1.41449648996668	-1.26511349842314	-1.38701725030211	0.0034
"gamma-glutamyl-alpha-lysine"	0	0	0	0
"gamma-glutamyl-epsilon-lysine"	-1.37224701077541	-1.38701725030211	-1.3782589832074	0.00660063492063492
"gamma-glutamylalanine"	0	0	0	0.00032
"gamma-glutamylglutamate"	0	1.0001000150025	1.0001000150025	0.00336825396825397
"gamma-glutamylglutamine"	0	0	0	0.000333333333333333
"gamma-glutamylglycine"	0	0	0	0
"gamma-glutamylhistidine"	1.0001000150025	0	1.0001000150025	0.00273333333333333
"gamma-glutamylisoleucine*"	0	0	0	0.00175238095238095
"gamma-glutamylmethionine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00186666666666667
"gamma-glutamylphenylalanine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000833333333333333
"gamma-glutamylthreonine"	0	0	0	0
"gamma-glutamyltyrosine"	0	-0.277352231599525	0	0.00321904761904762
"gamma-tocopherol/beta-tocopherol"	0	0	0	9e-04
"gamma-tocotrienol"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00228
"genistein"	3.03327482881936	3.18380868447256	3.17512542751129	0.0277666666666667
"gentisate"	7.19935550172368	7.15922670400134	7.53142526601078	0.0932628571428571
"gluconate"	0	0	0	0.00106666666666667
"glucose"	0	0	0	0
"glucose 6-phosphate"	0	0	0	0.000685714285714286
"glucuronate"	1.69147737108435	1.83891159036711	2.21423888958221	0.0109746031746032
"glutamate"	1.0001000150025	0	1.0001000150025	0.000633333333333333
"glutamate, gamma-methyl ester"	1.0001000150025	0	1.0001000150025	0.00067
"glutamine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0020984126984127
"glutamyl-meso-diaminopimelate"	0	0	0	0.00216666666666667
"glutarate (pentanedioate)"	0.90460805014728	0	0.577369515160903	0.0154666666666667
"glutaroylcarnitine (C5)"	0	0	0	0
"glycerate"	0	1.0001000150025	1.0001000150025	0.000571428571428571
"glycerol"	0	0	0	0
"glycerophosphoethanolamine"	0	0	0	0
"glycerophosphoglycerol"	0	0	0	0.00236666666666667
"glycerophosphoinositol*"	0	0	0	0
"glycerophosphorylcholine (GPC)"	1.0001000150025	0	1.0001000150025	0.00245
"glycine"	0	1.0001000150025	1.0001000150025	0.00220952380952381
"glycitein"	0.426409185675988	1.38701725030211	0.889367630191322	0.00413
"glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"	-0.468531570618058	0	-0.31741361919212	0.00402
"glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00256666666666667
"glycylisoleucine"	0.2000008000048	0.603044618449465	0.409622833183508	0.0195704761904762
"glycylleucine"	3.86284947989864	3.92568339697928	4.15987753500803	0.0550166666666667
"glycylvaline"	0	-0.816551019477037	-0.557103304212337	0.00981190476190476
"guanidinoacetate"	-1.41449648996668	-1.41449648996668	-1.41449648996668	0.00196666666666667
"guanine"	-1.66712982262021	-1.41449648996668	-1.70900018317	0.00399777777777778
"guanosine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00184
"heme"	0	0	0	0.00036
"histamine"	6.00189651827371	6.30787922310813	6.3760594951041	0.0908588888888888
"histidine"	0	0	0	0.00266666666666667
"homoarginine"	-0.426409185675988	-1.1472296305523	-0.829458273796686	0.00682507936507936
"homocitrulline"	0	0	0	0
"hydantoin-5-propionic acid"	1.34188234706475	1.0001000150025	1.40027448069996	0.00393571428571429
"hypotaurine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"hypoxanthine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00160285714285714
"I-urobilinogen"	2.281537558353	2.35544778500949	2.42446315430638	0.0208371428571429
