"d78_cc_ctrl"	"d78_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"arabinose"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000686666666666667
"arabitol/xylitol"	-1.0001000150025	-1.38701725030211	-1.40868513468813	0.0025152380952381
"arabonate/xylonate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00592380952380952
"arachidate (20:0)"	0	0	0	0.000746666666666667
"arachidonate (20:4n6)"	0	0	0	0.00231666666666667
"arginine"	1.0001000150025	1.0001000150025	1.0001000150025	0.0018
"argininosuccinate"	0	1.0001000150025	1.0001000150025	0.00143238095238095
"asparagine"	2.61663164788944	2.31569274169636	2.83306469121579	0.0154563492063492
"aspartate"	-0.365153240412441	-0.707142139177478	-0.719004214329329	0.0104857142857143
"azelate (nonanedioate; C9)"	4.44081448788191	4.65495604530881	5.00009141816122	0.0554609523809524
"benzoate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00688
"beta-alanine"	2.5368292291765	2.04209250153383	2.39385318230672	0.0338193650793651
"beta-guanidinopropanoate"	0	0	0	0.0039984126984127
"beta-hydroxyisovalerate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00667619047619048
"beta-sitosterol"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00171428571428571
"betaine"	-1.0001000150025	-1.34188234706475	-1.38701725030211	0.00393428571428571
"bilirubin"	1.0001000150025	0	1.0001000150025	0.00675
"biliverdin"	0	0	0	0
"cadaverine"	6.53197946192732e-17	-0.632480831772952	-0.365657261353867	0.0096184126984127
"campesterol"	0	0	0	0.00234285714285714
"caprate (10:0)"	5.78623420549112	6.02067358023415	6.20077273628719	0.0735509523809524
"caproate (6:0)"	-0.447222540040205	0	-0.2000008000048	0.00633571428571429
"carboxyethyl-GABA"	1.0001000150025	0	1.0001000150025	0.0051947619047619
"carnitine"	-1.26511349842314	-1.34188234706475	-1.31329077756478	0.0033184126984127
"carnosine"	1.83891159036712	1.98758326284912	1.9711078801757	0.00809714285714286
"catechol sulfate"	0	0	0	0.00222380952380952
"chenodeoxycholate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00326666666666667
"chiro-inositol"	1.0001000150025	1.0001000150025	1.0001000150025	0.00606380952380952
"cholate"	2.79548613865771	2.55940842104695	3.0703499469655	0.0149071428571429
"cholesterol"	-1.38701725030211	-1.0001000150025	-1.40868513468813	0.0015
"choline"	0	0	0	0.00422
"phosphocholine"	0	0	0	0.000676190476190476
"citrate"	0	0	0	0.00240952380952381
"citrulline"	0	0	0	0
"coprostanol"	-0.78451281975028	-1.17685977192638	-1.0001000150025	0.00581428571428571
"creatine"	4.27141189929876	3.77835130109321	4.42105292513831	0.0482446031746032
"creatinine"	2.19194261510898	1.96191607965738	2.56812261518913	0.015838253968254
"cysteine"	-0.447222540040205	0	0.2000008000048	0.00182412698412698
"cysteine s-sulfate"	0	0	0	0.000645887445887446
"cysteine sulfinic acid"	1.0001000150025	1.0001000150025	1.0001000150025	0.00203666666666667
"cysteinylglycine"	1.09121936598082	-0.588836915946026	0.290023386173001	0.0195501587301587
"cystine"	0	0	0	0.00152666666666667
"cytidine"	-1.0001000150025	0	-1.0001000150025	0.00253666666666667
"cytosine"	-0.896330162714078	-1.0001000150025	-0.613058719039302	0.00621142857142857
"D-urobilin"	0	0	0	0.00398285714285714
"daidzein"	1.89805001714514	2.00080048032022	1.99257706758877	0.0114111111111111
"delta-tocopherol"	1.41449648996668	1.94218287835072	1.96037337289915	0.0105777777777778
