"d35_cc_ctrl"	"d35_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"deoxycarnitine"	2.01481338235313	2.21989392490314	2.15194797138931	0.0171666666666667
"deoxycholate"	0	0	0	0
"dihomolinoleate (20:2n6)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00356666666666667
"dihomolinolenate (20:3n3 or 3n6)"	0	0	0	0.00206666666666667
"dihydroferulic acid"	0.45091880663251	1.6554853742606	1.36230790651792	0.0159571428571429
"dihydroorotate"	2.00080048032022	1.97642991813567	1.99514664611262	0.0131666666666667
"dihydroxyacetone phosphate (DHAP)"	1.40027448069996	1.41449648996668	1.40584162388088	0.0107666666666667
"dimethyl sulfone"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00377619047619048
"dimethylarginine (ADMA + SDMA)"	2.34058918226972	1.70588721901639	2.13380652382556	0.0264
"dimethylglycine"	1.0001000150025	1.0001000150025	1.0001000150025	0.00405714285714286
"dimethylmalonic acid"	2.77374086895292	2.85979089388589	2.92663979730073	0.0297904761904762
"docosadienoate (22:2n6)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00116666666666667
"docosapentaenoate (n6 DPA; 22:5n6)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00213333333333333
"dodecanedioate (C12)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"ectoine"	0	0	0	0.0012
"eicosapentaenoate (EPA; 20:5n3)"	-1.34188234706475	-1.38701725030211	-1.41449648996668	0.00233333333333333
"eicosenoate (20:1n9 or 1n11)"	-0.277352231599525	-0.447222540040205	-0.343001205617056	0.0068
"enterodiol"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00930952380952381
"enterolactone"	5.58374596180089	5.75975402815375	5.88482851577018	0.0728666666666666
"equol"	1.0001000150025	0	1.0001000150025	0.0014
"equol sulfate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00233333333333333
"ergothioneine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00528
"erucate (22:1n9)"	0	0	0	0.0052
"erythritol"	1.89049766339359	2.00080048032022	1.99402416892938	0.00658666666666667
"erythronate*"	2.70576672257712	2.75507765716737	2.73655818750563	0.026
"erythrose"	-0.277352231599525	-0.2000008000048	-0.232496534229058	0.00367619047619048
"ethylmalonate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00415714285714286
"ferulate"	3.59856265504699	3.47859784696522	3.61951705272811	0.0233333333333333
"FMN"	3.48272207250925	3.32027910835614	3.64286534760511	0.0379666666666667
"FAD"	0.917740222123685	1.68469166956037	1.54067366818337	0.0153238095238095
"formiminoglutamate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00186666666666667
"fructose"	0	0	0	0.0012
"fucose"	-2.00080048032022	-1.97642991813567	-1.99253179054983	0.0123
"fumarate"	0	0	0	0
"galactitol (dulcitol)"	-1.34188234706475	-1.0001000150025	-1.09121936598082	0.0108371428571429
"galactonate"	3.38701288765011	3.35446539744587	3.54091589233719	0.0301771428571429
"gamma-aminobutyrate (GABA)"	-1.698238938219	-1.70610212367578	-1.73257065675498	0.00633333333333333
"gamma-CEHC"	0	0	0	0.00303333333333333
"gamma-glutamyl-alpha-lysine"	0	0	0	0.0012
"gamma-glutamyl-epsilon-lysine"	1.38701725030211	1.40027448069996	1.39524319813235	0.00994285714285714
"gamma-glutamylalanine"	0	0	0	0
"gamma-glutamylglutamate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	6e-04
"gamma-glutamylglutamine"	0	0	0	0.00563333333333333
"gamma-glutamylglycine"	2.45825325402771	2.5761177858903	2.62111407877725	0.015
"gamma-glutamylhistidine"	0.447222540040205	0	0.156174142801614	0.0041
"gamma-glutamylisoleucine*"	1.0001000150025	1.0001000150025	1.0001000150025	0.0065
"gamma-glutamylmethionine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0012
"gamma-glutamylphenylalanine"	0	0	0	0.00226666666666667
"gamma-glutamylthreonine"	2.281537558353	2.40236548444443	2.39687957825714	0.02172
"gamma-glutamyltyrosine"	-0.277352231599525	0.447222540040205	0	0.00684761904761905
"gamma-tocopherol/beta-tocopherol"	0	0	0	0.00116666666666667
"gamma-tocotrienol"	0	0	0	0.00256666666666667
"genistein"	0	0	0	0.0075
"gentisate"	3.28013305976877	3.49259591779471	3.52105309319903	0.0279095238095238
"gluconate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"glucose"	-1.698238938219	-1.50789946626551	-1.70900018317	0.00498
"glucose 6-phosphate"	0	0	0	0
"glucuronate"	1.94218287835072	2.31510722681787	2.28927532729992	0.0202766666666667
"glutamate"	-1.38701725030211	-1.34188234706475	-1.41449648996668	0.00926666666666667
"glutamate, gamma-methyl ester"	0	0	0	0.0012
"glutamine"	1.0001000150025	1.88636548978819	1.7861843469924	0.0127038095238095
"glutamyl-meso-diaminopimelate"	0	0	0	0
"glutarate (pentanedioate)"	0	0	0	0.00526666666666667
"glutaroylcarnitine (C5)"	0	0	0	0.00116666666666667
"glycerate"	0.242537051729069	0	0.323233344660164	0.00574285714285714
"glycerol"	-1.41449648996668	-1.2876660719104	-1.36790581253137	0.00296666666666667
"glycerophosphoethanolamine"	1.0001000150025	1.0001000150025	1.0001000150025	0.0015
"glycerophosphoglycerol"	1.41449648996668	1.34188234706475	1.38701725030211	0.0102333333333333
"glycerophosphoinositol*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"glycerophosphorylcholine (GPC)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0046
"glycine"	-0.447222540040205	-0.447222540040205	-0.447222540040205	0.00316666666666667
"glycitein"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00213333333333333
"glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"	0	0	0	0
"glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"	0	0	0	0
"glycylisoleucine"	0	0	0	0
"glycylleucine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00233333333333333
"glycylvaline"	1.0001000150025	1.0001000150025	1.0001000150025	0.00116666666666667
"guanidinoacetate"	-1.09121936598082	-0.577369515160903	-0.8761599390541	0.00333333333333333
"guanine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0162333333333333
"guanosine"	6.0992894818024	6.13138673341896	6.44585543828471	0.0675428571428571
"heme"	0	0	0	0
"histamine"	0	0	0	0
"histidine"	1.50789946626551	1.698238938219	1.70900018317	0.0058
"homoarginine"	2.5209557242209	2.4843495864953	2.57136277444743	0.02073
"homocitrulline"	5.13003429460251	5.16860652022377	5.41283508844485	0.0590666666666667
"hydantoin-5-propionic acid"	2.69523935462091	2.86069056266403	3.08391371527214	0.0197571428571429
"hypotaurine"	0	0	0	0.00294285714285714
"hypoxanthine"	0	0	0	0.00035
"I-urobilinogen"	6.06060075474146	6.1446867495548	6.36434032427505	0.0776761904761904
"imidazole propionate"	3.04537577095125	3.08755445080609	3.2725051925268	0.0228371428571429
"imidazole lactate"	2.29536574402444	2.40236548444443	2.43656838105284	0.0235771428571429
"indole-3-carboxylic acid"	5.75328856508512	5.74447996143669	6.01015524979441	0.072
"indoleacetate"	0	0	0	0
"indoleacrylate"	0	0	0	9e-04
"indolelactate"	0	0	0	0
"indolepropionate"	0	0	0	3e-04
"indolin-2-one"	1.38701725030211	1.0001000150025	1.3782589832074	0.00813333333333333
"inosine"	0	0	0	0
"isobutyrylglycine (C4)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00876666666666667
"isoleucine"	0	0	0	0.00666666666666667
"isoleucylglycine"	0	0	0	0.00601333333333333
"isovalerate (C5)"	0	0	0	0
"isovalerylglycine"	0	0	0	0
"itaconate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000666666666666667
"kynurenate"	0	0	0	0
"kynurenine"	1.0001000150025	1.0001000150025	1.0001000150025	0.0105
"L-urobilin"	0	0	0	0
"lactate"	0	0	0	0.00106666666666667
"lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)"	-0.525240221024157	-0.341885725469189	-0.439949860305053	0.0151266666666667
"lanosterol"	0	0	0	0
"leucine"	0	0	0	0.00156666666666667
"leucylalanine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0026
"leucylglycine"	0	0	0	0.000342857142857143
"linoleate (18:2n6)"	2.58591956104261	2.38947700480903	2.58408632798525	0.0203
"linolenate (18:3n3 or 3n6)"	2.3776971820586	2.57449617279141	2.78317846015225	0.0207642857142857
"linoleoyl ethanolamide"	1.21285649954833	1.26511349842314	1.40584162388088	0.0124333333333333
"linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*"	1.71841859868114	1.52788177900243	1.71367533644276	0.0096
"lithocholate"	4.78980024049067	4.72548846778362	4.94686313708282	0.0508
"lysine"	0	0	0	0.0121
"lysylleucine"	0	0	0	0.00226666666666667
"malate"	0	0	0	0.00443333333333333
"maleate"	2.13864451448008	2.03109628515051	2.18747863800823	0.0281666666666667
"malonate"	6.15180513998764	6.17214889433991	6.4978441353398	0.0740866666666666
"malonylcarnitine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00233333333333333
"maltose"	-0.727645398532215	0	-0.447222540040205	0.00864619047619048
"maltotriose"	0	0	0	0.00236666666666667
"mannitol/sorbitol"	0	0	0	0.00106666666666667
"mannose"	0	0	0	0
"margarate (17:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00236666666666667
"mead acid (20:3n9)"	0	0	0	0.00106666666666667
"methionine"	-0.0867110621487238	-1.30008705568264	-0.707476597891207	0.0126
"methionine sulfoxide"	3.19943487294102	3.2643424762173	3.3629943987056	0.0401238095238095
"methyl glucopyranoside (alpha + beta)"	1.34188234706475	1.0001000150025	1.37224701077541	0.0055
"methyl indole-3-acetate"	2.33460474211514	2.40236548444443	2.43595218897099	0.0244666666666667
"methylphosphate"	0	0	0	0
"methylsuccinate"	0	0	0	0.00303333333333333
"mevalonate"	1.10295608460665	1.26511349842314	1.15848638465019	0.0202666666666667
"mevalonolactone"	0	0	0	0.0012
"myo-inositol"	0	0.816551019477037	0.323233344660164	0.0142333333333333
"myristoleate (14:1n5)"	1.56708359861203	1.633428800962	1.72660297827014	0.0088
"N(1)-acetylspermine"	5.53816805547068	5.56383227128077	5.7233868280603	0.0691666666666666
